,ma_GeV,ctau_inf,ctau_sup
227,0.0012352165993694,105537635.81338657,966397938928.5219
228,0.0012615876565922,98038697.42035188,926418818739.0465
229,0.0012885217184405,96986236.94121899,888093605300.7432
230,0.0013160308046906,87304993.02800456,851353881176.6478
231,0.0013441271917332,81101568.47503535,816134043152.0941
232,0.0013728234180517,80230931.01879993,782371226939.578
233,0.0014021322898177,72222214.65652312,750005147918.5035
234,0.0014320668866062,67090491.40687787,718978026635.1238
235,0.0014626405672325,64315010.70438086,689234472867.6731
236,0.0014938669757138,59745131.27233987,660721389904.3424
237,0.0015257600473579,57273522.65517765,633387870903.6566
238,0.0015583340149823,53203973.1365483,607185112617.329
239,0.0015916034152658,49423584.16386525,582066343856.2821
240,0.0016255830952355,47378969.70302135,557986721061.762
241,0.0016602882188928,44012474.31986518,534903251986.61523
242,0.0016957342739806,40885183.98438465,512774727108.78265
243,0.0017319370788947,39193796.02812903,491561639305.746
244,0.0017689127897433,36408895.16524335,471226123232.64294
245,0.0018066779075568,33821874.37730814,451731870851.00244
246,0.0018452492856515,32422690.197203334,433044080804.45404
247,0.0018846441371512,30118907.71382586,415129388826.38965
248,0.0019248800426682,28872912.1698843,397955812229.539
249,0.0019659749581494,27678462.59572397,381492694562.1774
250,0.0020079472228893,24915575.999233298,365710642040.5689
251,0.002050815567714,23884838.277745523,350581481313.4669
252,0.0020945991233406,22187709.749973457,336078201813.7681
253,0.0021393174289143,20611170.03164934,322174910880.49084
254,0.002184990440728,19758502.18108886,308846788879.5003
255,0.0022316385411283,18354568.895932756,296070039521.46564
256,0.0022792825476115,17595254.82970201,283821855057.27167
257,0.0023279437221136,16345030.340373553,272080368098.57837
258,0.0023776437804989,15183640.090793882,260824617039.0938
259,0.0024284049022509,14555504.846161814,250034507839.30768
260,0.0024802497403707,13521268.678100903,239690776545.8411
261,0.0025332014314857,12560519.75655281,229774956693.90527
262,0.0025872836061751,12040900.898348277,220269346818.2475
263,0.0026425203995154,11185338.993214794,211156976542.469
264,0.0026989364618509,10390568.732870689,202421577879.4786
265,0.0027565569697944,9960719.030879432,194047555516.98425
266,0.0028154076374629,9252963.690472603,186019959926.97903
267,0.0028755147279527,8870175.81331598,178324459549.89157
268,0.0029369050650598,8239908.614219579,170947315761.81076
269,0.0029996060452506,7654424.831093231,163875358732.26718
270,0.0030636456498878,7337767.237725453,157095962781.09818
271,0.0031290524577177,6816384.777424635,150597025134.88998
272,0.0031958556576241,6534396.238128467,144366943276.7205
273,0.0032640850616539,6070097.013729291,138394595099.43524
274,0.0033337711183217,5638788.397463233,132669318091.08655
275,0.0034049449261977,5405516.09607536,127180891327.53032
276,0.0034776382477858,5021429.033765741,121919516293.32214
277,0.0035518835236986,4664633.151441287,116875800463.12822
278,0.0036277138871342,4471660.878889923,112040738821.75113
279,0.0037051631786626,4153928.5649118433,107405699953.96709
280,0.0037842659613275,3982083.7412921744,102962408916.11838
281,0.0038650575360708,3699138.154241777,98702933363.5723
282,0.0039475739574862,3436297.1653486476,94619668952.39569
283,0.0040318520499089,3294140.1908954424,90705325921.2767
284,0.0041179294238496,3060076.1829046393,86952916091.12822
285,0.0042058444927783,2933483.1758909053,83355740576.97475
286,0.0042956364902673,2725045.520061105,79907377195.23558
287,0.0043873454874995,2531418.331446403,76601669975.62646
288,0.0044810124111514,2426695.482218247,73432717204.82982
289,0.0045766790616567,2254267.4479382816,70394861516.38606
290,0.0046743881318607,2094091.2265462792,67482679501.92497
291,0.0047741832260728,2007460.2570909278,64690972114.68841
292,0.0048761088795256,1864820.8319220669,62014755465.34115
293,0.0049802105782494,1732316.6010922052,59449251778.38975
294,0.0050865347793711,1660651.9643302038,56989880880.6076
295,0.0051951289318465,1542654.8784815804,54632252228.44581
296,0.0053060414976354,1433042.034766995,52372156816.11736
297,0.0054193219733282,1373758.1555078716,50205559782.74324
298,0.0055350209122349,1276146.2078190895,48128593098.602936
299,0.0056531899469451,1223352.9852356692,46137548880.853226
300,0.00577388181237,1136428.0240716275,44228872593.17696
301,0.0058971503692765,1055679.485986423,42399156725.35332
302,0.006023050628323,1012006.8007642188,40645134742.41874
303,0.0061516387746092,940098.9687637242,38963675259.29626
304,0.0062829721927493,873300.5227676447,37351776401.26027
305,0.0064171094924815,837172.7143927737,35806560539.01716
306,0.0065541105348226,777687.6577257639,34325269025.35605
307,0.0066940364587828,745515.2792285039,31886297199.520435
308,0.0068369497086498,692542.9094516719,29620625692.674572
309,0.0069829140618553,643334.473667845,27515940715.92846
310,0.007131994657437,616720.1833476389,25560803434.78184
311,0.0072842580251082,572899.3050662933,23744587772.747074
312,0.0074397721149474,532192.1047017365,21374381860.00189
313,0.0075986063277222,510175.68899243046,19240771938.097965
314,0.0077608315458609,473925.293794645,16264061717.8069
315,0.0079265201650846,454319.33133693587,15108423154.51717
316,0.0080957461267153,422037.79050499696,14034898113.14723
317,0.0082685849506731,392050.0040874672,13454283927.094881
318,0.0084451137691786,375831.1603633265,12498293191.075363
319,0.0086254113611742,349126.5705164865,11250702054.001457
