ma_GeV	ctau_Bdecay
0.7842822061337682	3434.3862022659255
0.8309941949353395	3528.481223965634
0.8804883581643465	3634.3350206351033
0.9329304026284687	3753.8364863693955
0.9884959046625587	3889.278067797777
1.0473708979594507	4043.466885229375
1.1097524964120722	4219.873840598577
1.175849554052158	4422.836468942409
1.245883364295008	4657.839104684155
1.3200884008314195	4931.906333858592
1.3987131026472386	5254.165848442258
1.4820207057988601	5636.670414030317
1.5702901247293777	6095.626346354515
1.6638168860761307	6653.27824009531
1.762914118095948	7340.888156322097
1.8679135990207847	8203.60954674991
1.9791668678535572	9308.786711452743
2.097046401323235	10760.771303942623
2.221946860939524	12728.91604489634
2.35428641432242	15504.263251830496
2.4945081352303164	19624.7773418566
2.6430814869741086	26185.040590833923
2.800503894183631	37728.84754511367
2.9673024081888726	61463.05619043774
