ma_GeV,gl,gtau
3.890451449942805e-06,2.4803967537667605e-09,8.672354987541184e-06
3.981071705534973e-06,2.4803958870672766e-09,8.667801276986961e-06
4.073802778041126e-06,2.480395663086491e-09,8.671325436315703e-06
4.168693834703356e-06,2.480394931917213e-09,8.669013297354724e-06
4.2657951880159266e-06,2.4803943954123456e-09,8.669436916285775e-06
4.365158322401661e-06,2.4803937738065814e-09,8.669203208753836e-06
4.466835921509632e-06,2.4803932386160296e-09,8.670102645777735e-06
4.570881896148753e-06,2.4803925995036874e-09,8.670155810392778e-06
4.677351412871981e-06,2.480391934699441e-09,8.67026195456344e-06
4.786300923226386e-06,2.4803911193407002e-09,8.668816080178324e-06
4.897788193684461e-06,2.480390240959565e-09,8.666818248927575e-06
5.011872336272725e-06,2.480389629706214e-09,8.668769406107232e-06
5.128613839913648e-06,2.4803889476238166e-09,8.67008838597195e-06
5.248074602497722e-06,2.480388088930826e-09,8.669652557185696e-06
5.3703179637025275e-06,2.4803871796718916e-09,8.669113606580994e-06
5.4954087385762485e-06,2.4803861988018206e-09,8.668071039332486e-06
5.623413251903491e-06,2.4803853937144313e-09,8.669692317816981e-06
5.754399373371568e-06,2.4803843481286373e-09,8.668908618328237e-06
5.88843655355589e-06,2.4803833235098923e-09,8.668928558782762e-06
6.025595860743581e-06,2.4803823459677877e-09,8.669936584281013e-06
6.165950018614824e-06,2.4803811010400655e-09,8.66827336710592e-06
6.30957344480193e-06,2.4803799763940744e-09,8.668747630918753e-06
6.4565422903465566e-06,2.4803787769440123e-09,8.668809736245592e-06
6.606934480075965e-06,2.480377513992212e-09,8.668885153879273e-06
6.760829753919818e-06,2.48037620609116e-09,8.668964340543065e-06
6.918309709189362e-06,2.4803748694755466e-09,8.669455799913525e-06
7.079457843841381e-06,2.4803734194898745e-09,8.669274813460474e-06
7.244359600749897e-06,2.4803718921358078e-09,8.668952179349023e-06
7.413102413009177e-06,2.4803703252978014e-09,8.66896666498385e-06
7.585775750291836e-06,2.4803687338057307e-09,8.669431380904867e-06
7.762471166286921e-06,2.480366936693578e-09,8.668352621569846e-06
7.943282347242813e-06,2.4803652338304818e-09,8.66932684972456e-06
8.128305161640995e-06,2.480363373133772e-09,8.669286458687887e-06
8.31763771102671e-06,2.480361441248862e-09,8.669416444325736e-06
8.511380382023768e-06,2.480359396044268e-09,8.669225977122949e-06
8.709635899560802e-06,2.480357282168589e-09,8.669307552345703e-06
8.912509381337458e-06,2.4803550831874324e-09,8.669497795925685e-06
9.120108393559098e-06,2.480352736545508e-09,8.669037438740242e-06
9.332543007969904e-06,2.480350301678474e-09,8.668803559818297e-06
9.549925860214359e-06,2.4803477926282666e-09,8.668958913597388e-06
9.772372209558113e-06,2.480345151440478e-09,8.668906340723972e-06
1e-05,2.4803424305532283e-09,8.66928101812835e-06
1.023292992280754e-05,2.4803395631433478e-09,8.669423016252018e-06
1.0471285480508996e-05,2.480336536998744e-09,8.669154133935947e-06
1.0715193052376065e-05,2.480333395402009e-09,8.669160554853051e-06
1.0964781961431852e-05,2.4803301001650617e-09,8.668983856259795e-06
1.1220184543019637e-05,2.4803266723953795e-09,8.669004595846811e-06
1.1481536214968829e-05,2.4803231142468503e-09,8.669296009314671e-06
1.1748975549395297e-05,2.4803193683171112e-09,8.669290963884223e-06
1.202264434617413e-05,2.4803154351902127e-09,8.66906125544578e-06
1.2302687708123819e-05,2.480311354896921e-09,8.669186671190393e-06
1.2589254117941676e-05,2.480307077689967e-09,8.669145565050918e-06
1.288249551693134e-05,2.480302604454518e-09,8.669090850906267e-06
1.3182567385564074e-05,2.4802979320184244e-09,8.669080545553596e-06
1.348962882591654e-05,2.480293035731128e-09,8.668897394304382e-06
1.3803842646028852e-05,2.4802879463730828e-09,8.669068081430172e-06
1.4125375446227548e-05,2.480282617958176e-09,8.669148391907824e-06
1.4454397707459272e-05,2.4802770122765687e-09,8.668805413048147e-06
1.4791083881682072e-05,2.48027120722687e-09,8.669136148475585e-06
1.5135612484362082e-05,2.4802651139724746e-09,8.669170758524304e-06
1.5488166189124814e-05,2.4802587237781954e-09,8.668977532822884e-06
1.584893192461113e-05,2.4802520573868612e-09,8.668941862355292e-06
1.62181009735893e-05,2.4802450940040404e-09,8.669002176416477e-06
1.6595869074375605e-05,2.4802378089596935e-09,8.669009326623507e-06
1.6982436524617442e-05,2.480230189291019e-09,8.669001865244324e-06
1.7378008287493757e-05,2.4802222215739145e-09,8.668987227724487e-06
1.7782794100389232e-05,2.4802139024048453e-09,8.669122567154554e-06
1.819700858609984e-05,2.4802051907807108e-09,8.669131923205156e-06
1.8620871366628678e-05,2.4801960680519945e-09,8.668980515954226e-06
1.9054607179632474e-05,2.480186543165381e-09,8.6690283893286e-06
1.949844599758046e-05,2.480176587205507e-09,8.669128735770733e-06
1.99526231496888e-05,2.4801661667352557e-09,8.669148580997008e-06
2.0417379446695294e-05,2.480155259128796e-09,8.669057541520486e-06
2.0892961308540396e-05,2.4801438598777037e-09,8.669076057769579e-06
2.1379620895022326e-05,2.4801319310220647e-09,8.669022914546984e-06
2.187761623949553e-05,2.48011946649132e-09,8.66912662644073e-06
2.2387211385683403e-05,2.4801064085822827e-09,8.668992574639036e-06
2.2908676527677735e-05,2.480092767781453e-09,8.66906042470453e-06
2.344228815319923e-05,2.480078495304552e-09,8.669098745605206e-06
2.3988329190194914e-05,2.4800635605854606e-09,8.669077669863264e-06
2.4547089156850313e-05,2.4800479362313348e-09,8.66903887115297e-06
2.5118864315095812e-05,2.480031590657756e-09,8.668995006411828e-06
2.570395782768863e-05,2.4800144967536372e-09,8.669019841506769e-06
2.630267991895381e-05,2.4799966143513705e-09,8.669051388006334e-06
2.6915348039269153e-05,2.479977900740011e-09,8.669023232847288e-06
2.7542287033381663e-05,2.4799583184058192e-09,8.66894043474855e-06
2.8183829312644532e-05,2.479937848739518e-09,8.669072951964691e-06
2.8840315031266056e-05,2.479916420580806e-09,8.669064633812463e-06
2.9512092266663854e-05,2.4798939966514987e-09,8.66901229464286e-06
3.0199517204020165e-05,2.479870541744427e-09,8.669032553736978e-06
3.090295432513591e-05,2.4798460013027717e-09,8.669066228740146e-06
3.1622776601683795e-05,2.4798203162675208e-09,8.669008336606963e-06
3.235936569296282e-05,2.479793445243948e-09,8.668999722299553e-06
3.311311214825912e-05,2.4797653301752817e-09,8.669009636564229e-06
3.3884415613920256e-05,2.4797359066913195e-09,8.66896846030185e-06
3.467368504525317e-05,2.4797051244047145e-09,8.669006102929927e-06
3.5481338923357554e-05,2.4796729088463026e-09,8.668990110395051e-06
3.630780547701014e-05,2.4796392009037218e-09,8.669012465883573e-06
3.7153522909717264e-05,2.4796039228093764e-09,8.668986680499552e-06
3.8018939632056124e-05,2.479567006132622e-09,8.66896523980258e-06
3.890451449942807e-05,2.4795283753378263e-09,8.668967096997159e-06
3.981071705534973e-05,2.479487947959433e-09,8.66896279325689e-06
4.073802778041128e-05,2.479445640307052e-09,8.668963466714756e-06
4.1686938347033545e-05,2.4794013640254213e-09,8.668961436216248e-06
4.2657951880159284e-05,2.479355027246487e-09,8.668965874797468e-06
4.365158322401661e-05,2.479306531646733e-09,8.668952927292958e-06
4.4668359215096335e-05,2.4792557798059523e-09,8.66896593686929e-06
4.570881896148752e-05,2.4792026618710273e-09,8.668962778743756e-06
4.677351412871981e-05,2.479147066722838e-09,8.668935835909489e-06
4.7863009232263824e-05,2.4790888836166623e-09,8.668954415505965e-06
4.897788193684463e-05,2.479027984464224e-09,8.668936397455753e-06
5.011872336272722e-05,2.4789642461755114e-09,8.668936569858449e-06
5.128613839913649e-05,2.478897533542078e-09,8.668931889319526e-06
5.248074602497726e-05,2.4788277073318575e-09,8.668925575099497e-06
5.370317963702528e-05,2.4787546216843025e-09,8.668924285206308e-06
5.495408738576245e-05,2.4786781221081987e-09,8.668908696650628e-06
5.623413251903491e-05,2.4785980510824187e-09,8.668915770341004e-06
5.75439937337157e-05,2.4785142366648667e-09,8.668895929872176e-06
5.8884365535558894e-05,2.4784265069239586e-09,8.668896403126248e-06
6.0255958607435786e-05,2.4783346755532683e-09,8.668891377739735e-06
6.165950018614822e-05,2.4782385500106502e-09,8.668885424889768e-06
6.309573444801933e-05,2.4781379287152015e-09,8.668881289419122e-06
6.456542290346557e-05,2.4780325994898454e-09,8.668873066862039e-06
6.606934480075962e-05,2.4779223407652853e-09,8.668858049236207e-06
