ma_GeV	ctau_ATLAS_pair	ctau_BelleII_proj
7.632307605532651	530.7445328171111	9.72704208016195
7.941465799902087	545.8211933666447	10.003354510202874
8.263146915789585	561.6745482826537	10.293901545254293
8.597858213122917	578.3592265882784	10.599684380380923
8.946127499162523	595.9355163562664	10.921807924977571
9.308503960802376	614.4701695922143	11.26149555399626
9.685559030584457	634.03735355041	11.620106542867669
10.077887287792471	654.7197809631987	11.999156781400066
10.486107396045718	676.610060679239	12.400343527148067
10.910863078871643	699.8123217294338	12.825575169935272
11.352824134795396	724.4441791658883	13.277007260107181
11.812687493547188	750.6391297874118	13.75708641538531
12.291178315052887	778.5494955972089	14.268604266098922
12.789051132940887	808.3500684098941	14.81476425049542
13.307091044368496	840.2426641519565	15.399265082151718
13.846114948044027	874.4618687958019	16.026406056649623
14.40697283239685	911.282364787654	16.70122132422129
