ma_GeV,BR_inv
4.084592145015106,7.709134977784519e-07
4.1087613293051355,7.709134977784519e-07
4.132930513595166,7.709134977784519e-07
4.181268882175226,7.511146188630573e-07
4.229607250755286,7.709134977784519e-07
4.277945619335348,7.912342618981327e-07
4.302114803625377,7.912342618981327e-07
4.350453172205437,8.120906677669803e-07
4.374622356495468,8.120906677669803e-07
4.398791540785499,8.334968345432015e-07
4.422960725075528,8.334968345432015e-07
4.447129909365559,8.554672535565684e-07
4.471299093655588,8.780167981186077e-07
4.495468277945619,9.011607335913935e-07
4.51963746223565,9.249147277217335e-07
4.543806646525679,9.743176387850898e-07
4.56797583081571,1e-06
4.592145015105739,1.0534134764888504e-06
4.61631419939577,1.0811807510766079e-06
4.640483383685801,1.1389303737044358e-06
4.66465256797583,1.19976460444274e-06
