,ma_GeV,cl_inf,cl_sup
67,4.205844492778353e-05,192053.36227813628,68875810.66325846
68,4.295636490267305e-05,178400.11856665168,66023896.2431327
69,4.387345487499567e-05,171012.88448218207,63289963.21306841
70,4.4810124111514414e-05,158854.8795496615,60669130.77473628
71,4.576679061656696e-05,147560.9660027166,58156720.04473962
72,4.674388131860712e-05,141449.94735442358,55748245.70125763
73,4.774183226072862e-05,131392.93708325308,53439407.97649623
74,4.876108879525671e-05,122050.72005982636,51226084.98054531
75,4.980210578249438e-05,116995.43832821194,49104325.342770614
76,5.086534779371106e-05,108676.42015585698,47070341.15753663
77,5.195128931846545e-05,100948.6908831585,45120501.22166422
78,5.3060414976354525e-05,96766.75733319194,43251324.55181931
79,5.419321973328272e-05,89885.44304787098,41459474.17023951
80,5.5350209122349534e-05,83493.25091111312,39741751.147010595
81,5.653189946945122e-05,80033.78621520285,38095088.88932583
82,5.773881812370071e-05,74341.7673160422,36516547.66676681
83,5.897150369276548e-05,69054.35507336294,35003309.36311978
84,6.023050628323051e-05,66192.54575764763,33552672.44514671
85,6.15163877460921e-05,61484.33061153062,32162047.13993243
86,6.282972192749407e-05,57110.80840466284,30828950.811104145
87,6.41710949248153e-05,53048.19293109796,29551003.52686328
88,6.554110534822636e-05,50849.00314537305,28325923.81116761
89,6.694036458782878e-05,47231.46091284367,27151524.570639506
90,6.836949708649833e-05,45273.04767502361,26025709.18999187
91,6.982914061855316e-05,42051.84143368055,24946467.789122455
92,7.13199465743708e-05,40307.84345798469,23911873.634818763
93,7.284258025108297e-05,37439.57219342939,22920079.701139126
94,7.439772114947442e-05,35886.51434160722,21969315.37187974
95,7.598606327722256e-05,33332.52903214033,21057883.279618237
96,7.760831545860945e-05,30960.142416343555,20184156.275428347
97,7.92652016508468e-05,29675.389664951625,19346574.524005517
98,8.095746126715336e-05,27562.981821684352,18543642.71893636
99,8.268584950673156e-05,25600.788845661093,17773927.413188215
100,8.445113769178657e-05,23778.133602693706,17036054.46000357
101,8.625411361174285e-05,22790.850255082292,16328706.55968488
102,8.809558187480768e-05,21844.409794927535,15650620.907894248
103,8.997636426704137e-05,20288.773481460208,15000586.94117542
104,9.189730011909303e-05,18843.780155095876,14377444.175791746
105,9.38592466807656e-05,17501.564777525582,13780080.135952907
106,9.586307950357804e-05,16774.261168438108,13207428.36773712
107,9.79096928314955e-05,15579.195680067201,12658466.53520206
108,0.0001,14469.143230926624,12132214.595238885
109,0.0001021349338436,13867.487555621487,11627733.04793874
110,0.0001043154471125,12879.154677180975,11144121.259264825
111,0.0001065425128971,11961.139537733205,10680515.853328202
112,0.0001088171250628,11463.42485468164,10236089.170904104
113,0.0001111402986935,10646.09283221513,9810047.791849356
114,0.0001135130705443,9886.922519665313,9401631.118702646
115,0.0001159364995043,9475.191966641738,9010110.018772135
116,0.0001184116670694,8799.303067071849,8634785.522409527
117,0.0001209396778246,8171.520404454767,8274987.575210344
118,0.0001235216599369,7830.919335892886,7930073.841786094
119,0.0001261587656592,7272.023163346535,7599428.558970938
120,0.000128852171844,6752.915390010341,7282461.436576998
121,0.000131603080469,6471.155438880941,6978606.603521178
122,0.0001344127191733,6009.0265346251645,6687321.597615082
123,0.0001372823418051,5579.805605993561,6408086.397137313
124,0.0001402132289817,5346.721334075868,6140402.492404496
125,0.0001432066886606,4964.629223074141,5883791.995841151
126,0.0001462640567232,4609.753725004321,5637796.788808819
127,0.0001493866975713,4416.935866067613,5401977.703714996
128,0.0001525760047357,4101.041213334309,5175913.73999918
129,0.0001558334014982,3929.3330587586547,4959201.312518978
130,0.0001591603415265,3648.1474891308694,4751453.531057818
131,0.0001625583095235,3387.0025789698484,4552299.509575291
132,0.0001660288218892,3244.9573721239285,4361383.704114382
133,0.000169573427398,3012.519738438786,4178365.278017124
134,0.0001731937078894,2796.6552536297527,4002917.493459051
135,0.0001768912789743,2679.1483428204847,3834727.1281037712
136,0.0001806677907556,2487.026528431282,3673493.9159286814
137,0.0001845249285651,2308.6097199649525,3518930.0111334505
138,0.0001884644137151,2211.4017787628513,3370759.474269488
139,0.0001924880042668,2052.62102827673,3228717.7795904656
