ma_GeV,ctau
22.650826303056235,632.2120303537431
22.68609390291151,630.0683509652831
22.721416414829736,627.9319402795676
22.75679392430961,623.6808265142308
22.792226516982996,621.5660743921801
22.827714278615044,619.4584928874508
22.863257295104475,615.2647445570248
22.898855652483746,613.1785293506874
22.934509436919264,611.0993879998338
22.97021873471161,609.0272965187166
23.00598363229571,604.9041676290725
23.0418042162411,602.8530826545984
23.077680573252074,600.8089524174165
23.113612790167956,598.7717533356795
23.149600953963265,594.7180547106869
23.18564515174794,594.7180547106869
23.22174547076757,594.7180547106869
23.257901998403543,596.7414619075016
23.294114822173356,598.7717533356795
23.65935869877861,561.3511043000349
23.696196595297575,559.4476973191461
23.733091848849647,557.5507443348857
23.77004454874037,553.7761128946368
23.807054784414387,551.8983908930959
23.844122645455556,550.0270357965785
