ma_GeV,gl,gtau
2.23872113856834e-06,1.6536019176548396e-09,5.779422822788422e-06
2.2908676527677726e-06,1.6536017520740895e-09,5.7794226775155035e-06
2.3442288153199226e-06,1.6536015796804882e-09,5.7794225288587505e-06
2.3988329190194897e-06,1.6536014001760342e-09,5.779422376739351e-06
2.4547089156850314e-06,1.6536012132492082e-09,5.77942222107662e-06
2.5118864315095797e-06,1.6536010185743875e-09,5.7794220617880875e-06
2.5703957827688647e-06,1.6536008158111283e-09,5.779421898789237e-06
2.6302679918953817e-06,1.653600604603546e-09,5.779421731993672e-06
2.6915348039269168e-06,1.6536003845795628e-09,5.779421561312959e-06
2.754228703338166e-06,1.653600155350166e-09,5.779421386656585e-06
2.818382931264455e-06,1.6535999165086375e-09,5.779421207931977e-06
2.884031503126605e-06,1.653599667629707e-09,5.779421025044344e-06
2.951209226666387e-06,1.6535994082687145e-09,5.779420837896721e-06
3.019951720402016e-06,1.6535991379607107e-09,5.779420646389893e-06
3.0902954325135923e-06,1.653598856219501e-09,5.779420450422306e-06
3.1622776601683796e-06,1.653598562536685e-09,5.7794202498900895e-06
3.235936569296281e-06,1.653598256380582e-09,5.779420044686872e-06
3.311311214825911e-06,1.653597937195209e-09,5.779419834703886e-06
3.388441561392028e-06,1.653597604399107e-09,5.7794196198297935e-06
3.4673685045253173e-06,1.6535972573841786e-09,5.7794193999506825e-06
3.5481338923357534e-06,1.6535968955144241e-09,5.779419174949914e-06
3.630780547701014e-06,1.6535965181246996e-09,5.779418944708257e-06
3.7153522909717285e-06,1.6535961245193015e-09,5.779418709103611e-06
3.801893963205613e-06,1.653595713970576e-09,5.779418468011041e-06
3.890451449942805e-06,1.6535952857174304e-09,5.779418221302737e-06
3.981071705534973e-06,1.6535948389637707e-09,5.779417968847888e-06
4.073802778041126e-06,1.6535943728768786e-09,5.779417710512635e-06
4.168693834703356e-06,1.6535938865857043e-09,5.779417446160026e-06
4.2657951880159266e-06,1.6535933791790785e-09,5.7794171756499e-06
4.365158322401661e-06,1.653592849703834e-09,5.779416898838792e-06
4.466835921509632e-06,1.6535922971628793e-09,5.7794166155799795e-06
4.570881896148753e-06,1.6535917205131135e-09,5.779416325723253e-06
4.677351412871981e-06,1.6535911186633114e-09,5.779416029114944e-06
4.786300923226386e-06,1.653590490471857e-09,5.779415725597778e-06
4.897788193684461e-06,1.6535898347444135e-09,5.779415415010847e-06
5.011872336272725e-06,1.653589150231439e-09,5.779415097189457e-06
5.128613839913648e-06,1.653588435625634e-09,5.779414771965111e-06
5.248074602497722e-06,1.6535876895592274e-09,5.77941443916536e-06
5.3703179637025275e-06,1.6535869106011694e-09,5.779414098613768e-06
5.4954087385762485e-06,1.6535860972541565e-09,5.779413750129753e-06
5.623413251903491e-06,1.6535852479515664e-09,5.779413393528579e-06
5.754399373371568e-06,1.6535843610541815e-09,5.779413028621161e-06
5.88843655355589e-06,1.653583434846822e-09,5.77941265521401e-06
6.025595860743581e-06,1.6535824675348006e-09,5.779412273109175e-06
6.165950018614824e-06,1.6535814572401837e-09,5.779411882104051e-06
6.30957344480193e-06,1.653580401997904e-09,5.779411481991298e-06
6.4565422903465566e-06,1.6535792997517186e-09,5.7794110725588245e-06
6.606934480075965e-06,1.6535781483498893e-09,5.779410653589514e-06
6.760829753919818e-06,1.653576945540764e-09,5.7794102248612545e-06
6.918309709189362e-06,1.6535756889680674e-09,5.779409786146708e-06
7.079457843841381e-06,1.6535743761660331e-09,5.7794093372132935e-06
7.244359600749897e-06,1.6535730045542544e-09,5.779408877822971e-06
7.413102413009177e-06,1.6535715714323357e-09,5.7794084077321835e-06
7.585775750291836e-06,1.6535700739742569e-09,5.779407926691661e-06
7.762471166286921e-06,1.653568509222524e-09,5.77940743444642e-06
7.943282347242813e-06,1.653566874081955e-09,5.779406930735401e-06
8.128305161640995e-06,1.6535651653132955e-09,5.779406415291593e-06
