ma_GeV,cl,ctau
27.4046231420547,280.0113164182943,789.5818437450345
27.89946368933336,265.20295202229727,748.7260746889361
28.40323948691492,248.04261927904545,701.1085689577188
28.916111877070986,250.13040579950993,707.8337479769942
29.43824511540268,249.08734526072925,705.6897637999713
29.969806423446155,251.1776213218673,712.4135213606935
30.510966042227963,247.00485240352668,701.354427849672
31.06189728678748,225.2821941631303,640.3710260270626
31.622776601683796,213.34936985899782,607.1009697828747
32.19378361750495,212.44598587955883,605.1666123951832
32.77510120839747,211.5436377096712,603.2196509066625
33.36691555063479,210.6423345227886,601.260357578647
33.96941618224315,212.39054600043644,606.856358456921
34.58279606370418,214.1504236139075,612.4857514703043
35.207251639753615,213.22952508354368,610.4404837074779
35.84298290229587,214.9906529572357,616.0659515623444
36.49019345445462,216.76346266470142,621.7247356513922
37.14909057577999,215.82277628392043,619.5932383007015
37.81988528863306,214.88335877703784,617.4509861384253
38.502792425769485,213.9452464374737,615.298319270052
39.19803069914265,215.69817989421537,620.8777718265997
39.90582276994998,217.46268986849407,626.4900553642755
40.6263953199437,222.00722594732795,640.1174534328379
41.35997912402927,215.54881747489875,622.0062680446284
42.10680912417479,217.30391948104318,627.576605433842
42.86712450465487,216.33887003252423,625.2841350750632
43.64116876865329,218.09509095962363,630.8499775593714
44.42918981624874,219.86294650572717,636.4486374870286
45.23144002380885,218.87870294707815,634.0737724375307
46.0481763248177,220.64777100972304,639.6681502319643
46.87966029216295,219.65498484030263,637.2489994580592
47.72615822190868,221.42534902452704,642.8393468172635
48.587941218581065,223.20754552647495,648.4629681981594
49.46528528199384,225.00168188596405,654.1201516374575
50.35847139564172,226.80786918234867,659.8111969168931
51.267785616689885,225.7753107283134,657.2373444169308
52.19351916758832,227.58311995993537,662.9252384066248
53.1359685293405,229.4031804059844,668.6475315361702
54.095435536456186,231.23561625582363,674.4045681072658
55.07222747361874,233.0805554704464,680.1967049918027
56.06665717409798,234.9381298499453,686.0243118521377
57.079043119940096,236.8084751054293,691.8877713714877
58.10970954396652,238.691730935576,697.7874794951281
59.15898653361478,237.58796888580434,694.9485867308773
60.22721013665425,242.49755354553216,709.697293174837
61.31472246881086,244.42042041790722,715.7082592673462
62.421871823335074,249.4675962751967,730.8709723847181
63.54901278254847,251.44226968342147,737.0352117811848
64.69650633140436,250.2707351181157,733.9708591982707
65.86471997309889,255.43382528304016,749.4824211679523
