ma_GeV,cl_TeV-1,ctau_TeV-1
5.011872336272725e-06,405.72911583415066,4905696185.53296
5.128613839913648e-06,387.4680415452546,4684492480.23463
5.248074602497722e-06,370.0288514635543,4474162230.355982
5.3703179637025275e-06,353.3745547303037,4273164025.387871
5.4954087385762485e-06,337.4698252832885,4081472665.3018637
5.623413251903491e-06,322.2809270583719,3896888665.0528264
5.754399373371568e-06,307.7756423066378,3721647247.725079
5.88843655355589e-06,293.9232033714019,3554574768.4093657
6.025595860743581e-06,280.69422728339237,3393976286.4085054
6.165950018614824e-06,268.06065365023744,3241513755.5000496
6.30957344480193e-06,255.99568489470164,3095604321.003027
6.4565422903465566e-06,244.4737295897809,2956286298.536096
6.606934480075965e-06,233.47034810069496,2822971198.1758556
6.760829753919818e-06,222.96220073283325,2696189298.8565865
6.918309709189362e-06,212.92699828433356,2574410430.356787
7.079457843841381e-06,203.3434547070106,2458609300.247041
7.244359600749897e-06,194.1912420133604,2348251530.37989
7.413102413009177e-06,185.450947093228,2242558459.128363
7.585775750291836e-06,177.10403058029854,2141264527.9623177
7.762471166286921e-06,169.1327875426406,2045578744.3310568
7.943282347242813e-06,161.52030985964822,1953118414.861104
8.128305161640995e-06,154.25045043099317,1865086173.2905757
8.31763771102671e-06,147.3077888918963,1781175275.7976234
8.511380382023768e-06,140.67759889877877,1700927090.124934
8.709635899560802e-06,134.3458169116383,1624529522.045877
8.912509381337458e-06,128.2990123465733,1551242324.2415328
9.120108393559098e-06,122.52435910754984,1481579832.3021777
9.332543007969904e-06,117.00960835532446,1415028815.8797493
9.549925860214359e-06,111.74306254380599,1351201620.4283764
9.772372209558113e-06,106.7135506069438,1290378364.7276618
1e-05,101.91040425610306,1232198316.7166588
1.023292992280754e-05,97.32343535750647,1176765098.36355
1.0471285480508996e-05,92.94291431519632,1123858390.472758
1.0715193052376065e-05,88.75954943905877,1073297812.0759609
1.0964781961431852e-05,84.76446723477994,1025006422.0060645
1.1220184543019637e-05,80.94919358099266,978841628.7013407
1.1481536214968829e-05,77.30563575471987,934743355.7614173
1.1748975549395297e-05,73.82606526559222,892702860.6115596
1.202264434617413e-05,70.50310146265174,852540991.0038501
1.2302687708123819e-05,67.3296958783788,814159478.105375
1.2589254117941676e-05,64.2991172787888,777513551.3088068
1.288249551693134e-05,61.40493738813429,742515877.7429755
1.3182567385564074e-05,58.641017246736624,709122869.6006527
1.348962882591654e-05,56.00149419575419,677223714.7118037
1.3803842646028852e-05,53.480769439825515,646726124.9708996
1.4125375446227548e-05,51.0734961703923,617604539.1807075
1.4454397707459272e-05,48.77456822605314,589850291.4191891
1.4791083881682072e-05,46.57910925855118,563267698.216084
1.5135612484362082e-05,44.48246239328359,537908979.4042923
1.5488166189124814e-05,42.48018034962875,513724305.17657816
1.584893192461113e-05,40.56801600632716,490599915.9518239
1.62181009735893e-05,38.741913395503154,468521659.4863564
1.6595869074375605e-05,36.99799909695423,447427441.7812736
1.6982436524617442e-05,35.33257402427845,427289081.3541758
1.7378008287493757e-05,33.74210557648926,408065339.5524467
1.7782794100389232e-05,32.22322014617873,389686582.48968214
1.819700858609984e-05,30.772695963994703,372143582.92484057
1.8620871366628678e-05,29.387456263461456,355403550.03554034
1.9054607179632474e-05,28.064562755508817,339403360.9613781
1.949844599758046e-05,26.801209395932304,324120602.77616173
1.99526231496888e-05,25.594716433922546,309532231.32035744
2.0417379446695294e-05,24.442524726960556,295608742.82986015
2.0892961308540396e-05,23.342190312822716,282300616.2280362
2.1379620895022326e-05,22.291379226268745,269602143.06682515
2.187761623949553e-05,21.287862547211155,257457285.62651163
2.2387211385683403e-05,20.329511674306865,245879750.3123968
2.2908676527677735e-05,19.414293808359567,234808323.3346236
2.344228815319923e-05,18.540267641904865,224240381.40947407
2.3988329190194914e-05,17.705579240346065,214146672.21787733
2.4547089156850313e-05,16.908458110090518,204510525.15070036
2.5118864315095812e-05,16.147213443040243,195307620.39539132
2.570395782768863e-05,15.420230529783387,186516536.44279134
2.630267991895381e-05,14.725967335126578,178120315.1662613
2.6915348039269153e-05,14.062951226817962,170103051.21988487
2.7542287033381663e-05,13.429775852009092,162451477.49912795
2.8183829312644532e-05,12.825098154161848,155134291.39444494
2.8840315031266056e-05,12.247635524444815,148152079.54721448
2.9512092266663854e-05,11.696163080889455,141486470.89124188
3.0199517204020165e-05,11.169511070241956,135117570.7643252
3.090295432513591e-05,10.6665623870165,129035385.500207
