ma_GeV,gae_sup,gae_inf
0.0002677860407402442,1.6847855244250966e-08,7.328052268618046e-10
0.00027118920308691124,1.6847855244250966e-08,7.328052268618046e-10
0.0002746356145660789,1.6847855244250966e-08,7.328052268618046e-10
0.00027812582480990435,1.6847855244250966e-08,7.328052268618046e-10
0.00028166039043555214,1.6847855244250966e-08,7.328052268618046e-10
0.00028523987513396335,1.6847855244250966e-08,7.328052268618046e-10
0.0002888648497597522,1.6847855244250966e-08,7.328052268618046e-10
0.0002925358924222471,1.6847855244250966e-08,7.328052268618046e-10
0.0002962535885776854,1.6847855244250966e-08,7.328052268618046e-10
0.00030001853112258253,1.6847855244250966e-08,7.328052268618046e-10
0.00030383132048828783,1.6847855244250966e-08,7.328052268618046e-10
0.0003076925647367394,1.6847855244250966e-08,7.328052268618046e-10
