,ma_GeV,gtau_BaBar,gtau_20fb-1,gtau_50ab-1,gtau_3m
64,0.0010275904791407736,0.3608,0.11226847821233295,0.01554601132976135,287.34628611450745
65,0.0010656872267767832,0.3608,0.11226847821233295,0.01554601132976135,267.16908966909295
66,0.001105196367978034,0.3608,0.11226847821233295,0.01554601132976135,248.4087173697075
67,0.0011461702656286824,0.3608,0.11226847821233295,0.01554601132976135,230.9656830387345
68,0.0011886632239072237,0.3608,0.11226847821233295,0.01554601132976135,214.7474816642971
69,0.0012327315602577743,0.3608,0.11226847821233295,0.01554601132976135,199.6681071476314
70,0.0012784336800296052,0.3608,0.11226847821233295,0.01554601132976135,185.6475932826715
71,0.0013258301538838478,0.3608,0.11226847821233295,0.01554601132976135,172.61158648743805
72,0.0013749837980699638,0.3608,0.11226847821233295,0.01554601132976135,160.49095728762393
73,0.0014259597576783802,0.3608,0.11226847821233295,0.01554601132976135,149.22142694552863
74,0.0014788255929796203,0.3608,0.11226847821233295,0.01554601132976135,138.7432330165573
75,0.0015336513689643567,0.3608,0.11226847821233295,0.01554601132976135,129.00080830358434
76,0.001590509748203049,0.3608,0.11226847821233295,0.01554601132976135,119.94248802776961
77,0.0016494760871482775,0.3608,0.11226847821233295,0.01554601132976135,111.5202348667324
78,0.0017106285360073464,0.3608,0.11226847821233295,0.01554601132976135,103.68938454012411
79,0.0017740481423175586,0.3608,0.11226847821233295,0.01554601132976135,96.40840959122532
80,0.001839818958361432,0.3608,0.11226847821233295,0.01554601132976135,89.63869796990953
81,0.0019080281525642128,0.3608,0.11226847821233295,0.01554601132976135,83.34434951970975
82,0.001978766125021317,0.3608,0.11226847821233295,0.01554601132976135,77.49198428845442
83,0.0020521266273088204,0.3608,0.11226847821233295,0.01554601132976135,72.05056695139807
84,0.0021282068867357956,0.3608,0.11226847821233295,0.01554601132976135,66.99124105897951
85,0.0022071077352031586,0.3608,0.11226847821233295,0.01554601132976135,62.28717653598656
86,0.0022889337428398083,0.3608,0.11226847821233295,0.01554601132976135,57.91342707715312
87,0.00237379335659317,0.3608,0.11226847821233295,0.01554601132976135,53.846798275163145
88,0.0024617990439578315,0.3608,0.11226847821233295,0.01554601132976135,50.06572453600026
89,0.002553067442032764,0.3608,0.11226847821233295,0.01554601132976135,46.550154313186
90,0.0026477195121046523,0.3608,0.11226847821233295,0.01554601132976135,43.28144433391521
91,0.0027458806999622267,0.3608,0.11226847821233295,0.01554601132976135,40.24226017370617
92,0.00284768110215408,0.3608,0.11226847821233295,0.01554601132976135,37.41648478830437
93,0.0029532556384103035,0.3608,0.11226847821233295,0.01554601132976135,34.78913279592882
94,0.0030627442304564443,0.3608,0.11226847821233295,0.01554601132976135,32.34627106798376
95,0.0031762919874567916,0.3608,0.11226847821233295,0.01554601132976135,30.07494489878199
96,0.003294049398332767,0.3608,0.11226847821233295,0.01554601132976135,27.963109169191128
97,0.003416172531211312,0.3608,0.11226847821233295,0.01554601132976135,25.99956464783297
98,0.00354282324026756,0.3608,0.11226847821233295,0.01554601132976135,24.173898458004086
99,0.0036741693802360025,0.3608,0.11226847821233295,0.01554601132976135,22.47642888572922
100,0.0038103850288744023,0.3608,0.11226847821233295,0.01554601132976135,20.898154091421144
101,0.003951650717675295,0.3608,0.11226847821233295,0.01554601132976135,19.430704322700628
102,0.004098153671130854,0.3608,0.11226847821233295,0.01554601132976135,18.066297541113947
103,0.00425008805486824,0.3608,0.11226847821233295,0.01554601132976135,16.797698181721582
104,0.004407655232984292,0.3608,0.11226847821233295,0.01554601132976135,15.61817871944547
105,0.004571064034920594,0.3608,0.11226847821233295,0.01554601132976135,14.521484046829334
106,0.004740531032232621,0.3608,0.11226847821233295,0.01554601132976135,13.501798276197327
107,0.004916280825619815,0.3608,0.11226847821233295,0.01554601132976135,12.553713923967022
108,0.005098546342596965,0.3608,0.11226847821233295,0.01554601132976135,11.67220319005368
109,0.005287569146201408,0.3608,0.11226847821233295,0.01554601132976135,10.852591348706012
110,0.005483599755145183,0.3608,0.11226847821233295,0.01554601132976135,10.090531906034697
111,0.005686897975836493,0.3608,0.11226847821233295,0.01554601132976135,9.381983587448357
112,0.005897733246710481,0.3608,0.11226847821233295,0.01554601132976135,8.723188891702026
113,0.0061163849953256594,0.3608,0.11226847821233295,0.01554601132976135,8.110654163337895
114,0.006343143008699275,0.3608,0.11226847821233295,0.01554601132976135,7.541131068885368
115,0.006578307817372468,0.3608,0.11226847821233295,0.01554601132976135,7.0115993707825846
116,0.006822191093714205,0.3608,0.11226847821233295,0.01554601132976135,6.519250909732283
117,0.007075116064991858,0.3608,0.11226847821233295,0.01554601132976135,6.061474712414855
118,0.0073374179417558935,0.3608,0.11226847821233295,0.01554601132976135,5.63584314404461
119,0.007609444362106474,0.3608,0.11226847821233295,0.01554601132976135,5.240099040096861
120,0.007891555852430744,0.3608,0.11226847821233295,0.01554601132976135,4.872143728944728
121,0.008184126305221355,0.3608,0.11226847821233295,0.01554601132976135,4.530025906668699
122,0.00848754347460964,0.3608,0.11226847821233295,0.01554601132976135,4.211931288284648
123,0.008802209490270113,0.3608,0.11226847821233295,0.01554601132976135,3.9161729863047783
124,0.009128541390377352,0.3608,0.11226847821233295,0.01554601132976135,3.6411825645864724
125,0.009466971674321666,0.3608,0.11226847821233295,0.01554601132976135,3.38550172144799
126,0.00981794887591607,0.3608,0.11226847821233295,0.01554601132976135,3.147774555666944
127,0.010181938157854308,0.3608,0.11226847821233295,0.01554601132976135,2.926740376532092
128,0.010559421928207635,0.3608,0.11226847821233295,0.01554601132976135,2.72122701734206
129,0.010950900479777568,0.3608,0.11226847821233295,0.01554601132976135,2.5301446201373454
130,0.011356892653151908,0.3608,0.11226847821233295,0.01554601132976135,2.352479856013062
131,0.011777936524342855,0.3608,0.11226847821233295,0.01554601132976135,2.1872905508567317
132,0.012214590117918395,0.3608,0.11226847821233295,0.01554601132976135,2.0337006892500264
133,0.012667432146572396,0.3608,0.11226847821233295,0.01554601132976135,1.8908957686660284
134,0.013137062778113244,0.3608,0.11226847821233295,0.01554601132976135,1.7581184804628336
135,0.013624104430887886,0.3608,0.11226847821233295,0.01554601132976135,1.634664693248983
136,0.014129202598695132,0.3608,0.11226847821233295,0.01554601132976135,1.519879719227612
137,0.01465302670628188,0.3608,0.11226847821233295,0.01554601132976135,1.4131548422745923
138,0.015196270996555666,0.3608,0.11226847821233295,0.01554601132976135,1.3139240895567421
139,0.01575965545068985,0.3608,0.11226847821233295,0.01554601132976135,1.2216612305370067
140,0.016343926742340406,0.3608,0.11226847821233295,0.01554601132976135,1.1358769859559756
141,0.016949859227239468,0.3608,0.11226847821233295,0.01554601132976135,1.0561164333876782
142,0.017578255969476674,0.3608,0.11226847821233295,0.01554601132976135,0.9819565946500962
143,0.018229949805828975,0.3608,0.11226847821233295,0.01554601132976135,0.9130041926901917
144,0.01890580444954901,0.3608,0.11226847821233295,0.01554601132976135,0.8488935660009065
145,0.019606715635075444,0.3608,0.11226847821233295,0.01554601132976135,0.7892847294932299
146,0.020333612305181846,0.3608,0.11226847821233295,0.01554601132976135,0.7338615715404835
147,0.021087457842138082,0.3608,0.11226847821233295,0.01554601132976135,0.6823301775946052
148,0.021869251344515277,0.3608,0.11226847821233295,0.01554601132976135,0.6344172714982407
149,0.022680028951327213,0.3608,0.11226847821233295,0.01554601132976135,0.5898687663039233
150,0.023520865215262428,0.3608,0.11226847821233295,0.01554601132976135,0.5484484168329145
151,0.02439287452682758,0.3608,0.11226847821233295,0.01554601132976135,0.5099365668219797
152,0.025297212591289264,0.3608,0.11226847821233295,0.01554601132976135,0.47412898406361803
153,0.026235077960371573,0.3608,0.11226847821233295,0.01554601132976135,0.4408357773622779
154,0.02720771362073995,0.3608,0.11226847821233295,0.01554601132976135,0.40988038950908456
155,0.02821640864137584,0.3608,0.11226847821233295,0.01554601132976135,0.3810986609786863
156,0.029262499882026373,0.3608,0.11226847821233295,0.01554601132976135,0.3543379593775321
157,0.030347373764992348,,0.11226847821233295,0.01554601132976135,0.3294563700270277
158,0.03147246811260378,,0.11226847821233295,0.01554601132976135,0.3063219433616566
159,0.03263927405281721,,0.11226847821233295,0.01554601132976135,0.2848119952011999
160,0.03384933799546145,,0.11226847821233295,0.01554601132976135,0.2648124561346449
