m [GeV/c^2], xsec [fb], xsec error [fb], xsec_UL_obs [fb], xsec_UL_exp [fb], xsec_UL_exp -1sigma [fb], xsec_UL_exp +1sigma [fb], xsec_UL_exp -2sigma [fb], xsec_UL_exp +2sigma [fb], g'_UL_obs, g'_UL_exp, g'_UL_exp -1sigma, g'_UL_exp +1sigma, g'_UL_exp -2sigma, g'_UL_exp +2sigma, xi_UL_obs, xi_UL_exp, xi_UL_exp -1sigma, xi_UL_exp +1sigma, xi_UL_exp -2sigma, xi_UL_exp +2sigma, {c_{\ell\ell}/\Lambda}_UL_obs [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp -1sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp +1sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp -2sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp +2sigma [TeV^-1]
5.72145, -1.1215469, 0.84532225, 1.1377896, 1.7483052, 1.1893682, 2.6655024, 0.85754393, 3.9581318, 0.06205672, 0.07692482, 0.06344772, 0.09498333, 0.05387485, 0.1157452, 130.63590811, 161.93480899, 133.56410244, 199.94987071, 113.41220058, 243.65577791, 531.74681145, 659.14739364, 543.66587739, 813.88576649, 461.63858705, 991.78843606
5.72867, -0.94288779, 0.87887483, 1.2182, 1.7650108, 1.2017346, 2.6952312, 0.86967196, 3.999057, 0.06446787, 0.07759928, 0.0640307, 0.09589192, 0.05447055, 0.11680537, 135.69633724, 163.33622394, 134.7761699, 201.8398154, 114.65330058, 245.85985706, 552.28848919, 664.78372358, 548.5433783, 821.49458838, 466.64264818, 1000.65758418
5.73588, -0.66175363, 0.88948453, 1.3503459, 1.7829405, 1.2100101, 2.7188717, 0.87971194, 4.0314707, 0.06814658, 0.07830509, 0.06450837, 0.09669765, 0.05500369, 0.11774794, 143.42316009, 164.80303192, 135.76607723, 203.51251873, 115.76226495, 247.81553397, 583.67631704, 670.68405584, 552.51497657, 828.21656791, 471.10726342, 1008.51255881
5.74306, -0.2808732, 0.88255131, 1.5207524, 1.7787673, 1.2104521, 2.7167999, 0.87853359, 4.0283735, 0.07260977, 0.07852815, 0.0647798, 0.0970498, 0.05518804, 0.11817638, 152.79885139, 165.25339969, 136.3215886, 204.23005797, 116.13684397, 248.6884981, 621.76645109, 672.44628429, 554.71745752, 831.04943, 472.58204272, 1011.95894791
5.75022, -0.23275153, 0.88152105, 1.5501609, 1.7800413, 1.2110203, 2.7180288, 0.8791026, 4.029831, 0.07360483, 0.07887384, 0.06505694, 0.09746416, 0.05542909, 0.11867558, 154.87518252, 165.9619318, 136.88918996, 205.07865906, 116.63079186, 249.7105313, 630.14842798, 675.25764122, 556.96791739, 834.4138326, 474.54155629, 1016.00977119
5.75737, -0.57340021, 0.87736122, 1.3845211, 1.7868236, 1.2137764, 2.7249104, 0.88195771, 4.0391222, 0.06983759, 0.07933782, 0.06538961, 0.09797506, 0.05573953, 0.1192842, 146.94570208, 166.93520653, 137.58669653, 206.14993967, 117.28189631, 250.98663448, 597.820892, 679.14442316, 559.74554197, 838.6821736, 477.13928939, 1021.09181546
5.7645, -1.2533621, 0.85139836, 1.1236565, 1.7980937, 1.2185459, 2.7368626, 0.88659088, 4.0554311, 0.06316647, 0.07990537, 0.06577953, 0.0985817, 0.05610886, 0.12000195, 132.9065303, 168.12631563, 138.40458661, 207.4225808, 118.05684313, 252.49224847, 540.64612042, 683.91553133, 563.01148357, 843.76752103, 480.2395645, 1027.1049456
5.77162, -1.8919116, 0.80876515, 0.97676308, 1.7979155, 1.220273, 2.7384971, 0.88701002, 4.0573898, 0.05912977, 0.08022251, 0.06609066, 0.09900742, 0.05634766, 0.1205133, 124.4107529, 168.79047632, 139.05666246, 208.31447244, 118.55709886, 253.56345867, 506.03036349, 686.54118795, 565.60137938, 847.30174646, 482.22111379, 1031.3482249
5.77871, -2.4286859, 0.81569629, 0.92866086, 1.8078541, 1.2243428, 2.7488048, 0.89112329, 4.0730379, 0.05788801, 0.08076845, 0.06646784, 0.09959374, 0.056706, 0.12123257, 121.79576753, 169.93597003, 139.84763988, 209.54416693, 119.30881242, 255.07203748, 495.33861293, 691.12292973, 568.75487028, 852.20791415, 485.22426397, 1037.3679793
5.78579, -2.2458972, 0.83062697, 0.94892756, 1.8076138, 1.2235152, 2.7476846, 0.89081025, 4.0716325, 0.05875391, 0.08109108, 0.06671522, 0.09997783, 0.05692629, 0.12170391, 123.61525156, 170.61151956, 140.36544649, 210.34828076, 119.7700221, 256.0588632, 502.6812249, 693.79147433, 570.79586606, 855.38095089, 487.04460538, 1041.26296205
5.79285, -1.5445496, 0.84539586, 1.0605945, 1.8171228, 1.2272962, 2.7575727, 0.89462855, 4.0898121, 0.06236838, 0.08163603, 0.06709103, 0.10056648, 0.05728107, 0.12247331, 131.21737732, 171.75476979, 141.15340618, 211.58269924, 120.51415073, 257.67266284, 533.53378955, 698.36004245, 573.93398074, 860.30159747, 490.01414938, 1047.70477109
5.79989, -0.81971749, 0.90358134, 1.3040831, 1.81809, 1.2284939, 2.7592447, 0.89531358, 4.0917048, 0.06944187, 0.08199294, 0.06739928, 0.10100988, 0.05753821, 0.12300447, 146.09649337, 172.50228321, 141.79916088, 212.51141702, 121.0527736, 258.78512263, 593.96338272, 701.31758334, 576.49233955, 863.97693203, 492.14675341, 1052.10524423
5.80692, -0.26440152, 0.9438612, 1.6187471, 1.831734, 1.2337505, 2.7735387, 0.9005679, 4.118083, 0.07767916, 0.08263162, 0.06781546, 0.10167921, 0.0579393, 0.12389751, 163.31307023, 173.72512992, 142.57556872, 213.7708858, 121.81188763, 260.48276281, 664.07115753, 706.40915608, 579.74737003, 869.24506031, 495.3171299, 1059.18705447
5.81393, 0.17833823, 0.97010504, 1.9108997, 1.8345665, 1.2339905, 2.7763217, 0.90132225, 4.1225379, 0.08474005, 0.08303028, 0.06809664, 0.10214207, 0.05819823, 0.12446639, 178.03065869, 174.43859578, 143.06446024, 214.59062584, 122.26887004, 261.4918641, 724.04417746, 709.43538898, 581.83792725, 872.73222667, 497.26302249, 1063.47784729
5.82092, 0.24847154, 0.98482585, 1.968368, 1.8431095, 1.2389163, 2.7902401, 0.90355542, 4.1391315, 0.08635487, 0.08356209, 0.06851011, 0.10281453, 0.05850744, 0.12522421, 181.29211731, 175.42898148, 143.82909789, 215.84727045, 122.82963768, 262.89382494, 737.43986926, 713.59045878, 585.05197423, 877.99946993, 499.63271044, 1069.3702008
5.82789, 0.0388163, 0.98249529, 1.8414596, 1.8520971, 1.2478133, 2.8043779, 0.90653542, 4.1564326, 0.08386642, 0.0841083, 0.06903698, 0.1034964, 0.05884362, 0.12599907, 175.93909237, 176.44653143, 144.82917432, 217.11984365, 123.44503817, 264.32705714, 715.79442617, 717.85890225, 589.22615961, 883.33508944, 502.22647548, 1075.39394251
5.83485, -0.38533274, 0.94886138, 1.5729346, 1.8628535, 1.2582286, 2.8217118, 0.90983463, 4.1781715, 0.07783011, 0.08469965, 0.06961007, 0.10424341, 0.05919343, 0.12684852, 163.15476839, 177.55536084, 145.9231562, 218.52481708, 124.0868242, 265.91177523, 663.90353726, 722.50191201, 593.78527838, 889.2133553, 504.92965865, 1082.03866739
5.84179, -0.92672902, 0.92016266, 1.302684, 1.8706315, 1.2651325, 2.833895, 0.91281977, 4.1936535, 0.07112245, 0.08522781, 0.07008986, 0.10490087, 0.05953601, 0.12760964, 148.98167239, 178.52844705, 146.81867889, 219.73800796, 124.71130517, 267.30653582, 606.34273577, 726.59559569, 597.53953617, 894.31500374, 507.56440539, 1087.91486641
5.84871, -1.6621358, 0.90790501, 1.1017805, 1.8825512, 1.2752712, 2.8526074, 0.91751756, 4.2177296, 0.06568094, 0.08585493, 0.07066317, 0.10568487, 0.05993756, 0.12850831, 137.47870772, 179.70547081, 147.90715256, 221.21211221, 125.45705619, 268.98450757, 559.63102977, 731.52242522, 602.08183121, 900.48243985, 510.69480293, 1094.94829753
5.85561, -2.1750792, 0.76318974, 0.95148371, 1.9985128, 1.3474947, 3.047395, 0.96370746, 4.5319295, 0.06126938, 0.08879659, 0.07291323, 0.10964964, 0.06166169, 0.13371632, 128.19436935, 185.78974499, 152.55688217, 229.42072448, 129.01520059, 279.77560539, 521.93594947, 756.43218532, 621.12650929, 934.07319109, 525.27791634, 1139.09017206
5.8625, -2.5478725, 0.74454328, 0.90456863, 1.9864792, 1.3381401, 3.0300826, 0.95805807, 4.5082878, 0.05996351, 0.0888604, 0.07293182, 0.10974721, 0.06171094, 0.13386655, 125.42306165, 185.86544151, 152.54832007, 229.55347442, 129.07809683, 280.00285079, 510.75027891, 756.88493682, 621.21029418, 934.79221079, 525.63438564, 1140.23316172
5.86937, -2.8943705, 0.74888477, 0.87520119, 1.9706242, 1.3265655, 3.0071631, 0.95022253, 4.4766317, 0.05920401, 0.08883806, 0.07288892, 0.1097427, 0.0616893, 0.13389761, 123.79550003, 185.76026181, 152.41062983, 229.47184127, 128.99223578, 279.97973068, 504.21987692, 756.60275476, 620.76948678, 934.64030226, 525.38621546, 1140.35926442
5.87622, -2.6212949, 0.69514966, 0.87637493, 1.9546137, 1.3169245, 2.9853417, 0.94137021, 4.4456733, 0.05946762, 0.08881085, 0.07289807, 0.10975709, 0.06163335, 0.13393817, 124.30715064, 185.64429529, 152.38126609, 229.42892101, 128.83425914, 279.97542413, 506.40274933, 756.27814686, 620.77114384, 934.64805342, 524.84529407, 1140.5645113
5.88306, -2.4339996, 0.71883749, 0.89300469, 1.9497517, 1.3134682, 2.9782551, 0.93869328, 4.4358746, 0.06025747, 0.08903765, 0.07307921, 0.11004365, 0.06177971, 0.13429928, 125.91760749, 186.0583851, 152.71066722, 229.95377337, 129.09857477, 280.63977501, 513.06493913, 758.11505582, 622.23616496, 936.97157284, 526.02613509, 1143.49718009
5.88988, -2.1777427, 0.75901781, 0.92977027, 1.9339289, 1.3026826, 2.9538554, 0.92780457, 4.4009551, 0.06172031, 0.08901445, 0.07305661, 0.11001068, 0.06165503, 0.13428073, 128.93237134, 185.94923432, 152.61367444, 229.80991307, 128.79600622, 280.50952424, 525.45407028, 757.82195756, 621.96541939, 936.57281689, 524.89832463, 1143.19522503
5.89669, -1.7505364, 0.7545247, 0.9866275, 1.9109598, 1.286634, 2.9195208, 0.91788556, 4.3546265, 0.0638239, 0.08882444, 0.07288434, 0.10978993, 0.06156034, 0.13408561, 133.28267297, 185.49100801, 152.20348535, 229.27297831, 128.55570506, 280.00935508, 543.29352659, 756.10776438, 620.41949245, 934.57403099, 524.02522256, 1141.38819856
5.90348, -1.5930382, 0.77499571, 1.0255405, 1.8984678, 1.2776952, 2.90369, 0.91293497, 4.3316327, 0.06532927, 0.08888594, 0.07291973, 0.10992755, 0.0616384, 0.13426328, 136.36492348, 185.53586907, 152.20884722, 229.45704144, 128.66078199, 280.25416587, 555.97155986, 756.44574799, 620.56860414, 935.51615766, 524.56111023, 1142.62041724
5.91025, -1.6556526, 0.8328457, 1.0436726, 1.8789864, 1.2626385, 2.8755061, 0.90380071, 4.2905427, 0.06617517, 0.08879218, 0.07278677, 0.10984241, 0.06158136, 0.13417421, 138.05237369, 185.23521585, 151.84526407, 229.1494842, 128.46892098, 279.90963739, 562.96822768, 755.37666167, 619.21470029, 934.45607307, 523.88755678, 1141.45253909
5.91701, -1.6358901, 0.83404014, 1.0527455, 1.8840049, 1.2663718, 2.8835429, 0.90635786, 4.3018717, 0.06673723, 0.08927863, 0.07319596, 0.11045101, 0.06192362, 0.13490723, 139.14498202, 186.14306736, 152.61122121, 230.28680832, 129.10875845, 281.27723164, 567.54310211, 759.23840265, 622.46905814, 939.29143308, 526.60745803, 1147.27064015
5.92375, -1.3651076, 0.80157976, 1.0951808, 1.8913011, 1.2712657, 2.8944298, 0.9100325, 4.3179684, 0.0683522, 0.0898235, 0.07364237, 0.11111972, 0.06230718, 0.13572172, 142.42929311, 187.17021779, 153.45271364, 231.54633892, 129.83293038, 282.81089617, 581.06268785, 763.59032236, 626.03446456, 944.62968341, 529.67384626, 1153.77150232
5.93048, -1.1107739, 0.83239785, 1.1717492, 1.8682603, 1.256294, 2.8577268, 0.89707275, 4.2684876, 0.0709974, 0.08964867, 0.07351412, 0.11087547, 0.06212108, 0.13550713, 147.85401523, 186.695772, 153.09515013, 230.90117559, 129.36882166, 282.19726625, 603.32371366, 761.81892195, 624.71035621, 942.2006871, 527.8942056, 1151.51626008
5.93718, -1.1076574, 0.86043122, 1.194803, 1.8579714, 1.2496413, 2.8433531, 0.89055366, 4.2472895, 0.07199394, 0.08977745, 0.07362757, 0.11106141, 0.06215525, 0.1357387, 149.83993537, 186.85251043, 153.23998819, 231.15049227, 129.36281911, 282.51099639, 611.5604984, 762.6245575, 625.43755989, 943.42345988, 527.98467869, 1153.04751918
5.94388, -1.1483176, 0.87418641, 1.1960582, 1.8492014, 1.2438313, 2.8316086, 0.88506361, 4.2294226, 0.07233725, 0.08994519, 0.07376775, 0.11130186, 0.06222617, 0.13602739, 150.46329114, 187.08824774, 153.43878161, 231.51067008, 129.43199435, 282.94038586, 614.24043352, 763.75550161, 626.38736012, 945.10237863, 528.38379194, 1155.05532246
5.95055, -1.0571154, 0.89361468, 1.2437596, 1.8383069, 1.2364622, 2.8176621, 0.88128642, 4.2105175, 0.07407669, 0.09005801, 0.07385905, 0.11149561, 0.06235508, 0.13629536, 153.99335351, 187.21591396, 153.54093317, 231.78120104, 129.62605163, 283.33582625, 628.79173972, 764.44740997, 626.94439914, 946.41814932, 529.29421083, 1156.92803002
5.95721, -0.6769073, 0.94614162, 1.4348162, 1.821271, 1.2220746, 2.7901695, 0.87365408, 4.1734591, 0.079864, 0.0899788, 0.07370582, 0.11137, 0.06231931, 0.13620749, 166.00471363, 187.02926635, 153.20436634, 231.49284779, 129.53646429, 283.11987961, 677.99048681, 763.85820958, 625.71176831, 945.45477132, 529.04817318, 1156.30803969
5.96386, -0.25673133, 1.0415782, 1.7288012, 1.8236451, 1.223491, 2.7936064, 0.87489576, 4.1784644, 0.08799845, 0.09038006, 0.07402917, 0.11186265, 0.06260091, 0.13680779, 182.89112735, 187.84094797, 153.85814739, 232.48916503, 130.10628164, 284.33378247, 747.12883058, 767.34935052, 628.52615871, 949.74185193, 531.49737477, 1161.53237977
5.97048, 0.43216723, 1.0798898, 2.215919, 1.8304932, 1.2303306, 2.8059267, 0.87789667, 4.1948306, 0.10000785, 0.09089525, 0.07451918, 0.11253699, 0.06294755, 0.13759871, 207.82578568, 188.88894907, 154.85791341, 233.86253403, 130.81097757, 285.94315456, 849.186415, 771.80956623, 632.75707533, 955.57385349, 534.50010893, 1168.3778388
5.9771, 1.1855771, 1.0867096, 2.8265663, 1.8316011, 1.2301748, 2.8068215, 0.87876902, 4.1965267, 0.11338461, 0.0912725, 0.07480109, 0.11298789, 0.06322108, 0.13815592, 235.59516431, 189.64973125, 155.42475696, 234.7708547, 131.36333111, 287.06601403, 962.88024951, 775.100716, 635.22283743, 959.51128626, 536.8835027, 1173.24222685
5.98369, 1.8229875, 1.1122944, 3.4280959, 1.8197891, 1.2221161, 2.7881975, 0.87278144, 4.169758, 0.1253498, 0.09132878, 0.07484338, 0.11304697, 0.06324845, 0.138246, 260.42474729, 189.74323457, 155.49341536, 234.86458603, 131.40398052, 287.21769685, 1064.61252317, 775.6675424, 635.65478699, 960.12296122, 537.17753292, 1174.14170554
5.99027, 2.1102663, 1.152684, 3.7504147, 1.8121075, 1.2172446, 2.7776003, 0.86861897, 4.1546579, 0.13161938, 0.09148969, 0.07498409, 0.11327004, 0.06334245, 0.13853128, 273.41609695, 190.05373643, 155.76624891, 235.29858119, 131.58278924, 287.77434088, 1117.99087903, 777.12448618, 636.92389545, 962.12940848, 538.03839589, 1176.70134243
5.99684, 1.8448886, 1.1752577, 3.5271881, 1.8222744, 1.2235218, 2.7919745, 0.87400031, 4.1764005, 0.128141, 0.09210447, 0.07547092, 0.11400648, 0.06378662, 0.13943599, 266.15658237, 191.3065272, 156.75765456, 236.79832424, 132.48865593, 289.6169466, 1088.57343996, 782.43867781, 641.134695, 968.49893434, 541.87512727, 1184.52571423
6.00339, 1.6127926, 1.2033401, 3.345182, 1.7968852, 1.2073227, 2.7567871, 0.8601863, 4.1264313, 0.12527906, 0.0918182, 0.07526278, 0.11372874, 0.06352795, 0.13914125, 260.10969359, 190.63683876, 156.26378698, 236.12842798, 131.89943115, 288.89097285, 1063.95912104, 779.78563814, 639.18525737, 965.86555932, 539.52469397, 1181.68677723
