m_a	UL_BF	UL_gagg
1.756	8.88637e-07	0.00190898
1.76	8.69806e-07	0.00189479
1.764	8.74678e-07	0.00190629
1.768	8.87918e-07	0.00192696
1.772	8.95436e-07	0.00194148
1.776	8.54028e-07	0.00190233
1.78	7.84845e-07	0.00182971
1.784	7.85208e-07	0.00183624
1.788	8.10699e-07	0.00187207
1.792	7.56668e-07	0.0018147
1.796	6.93433e-07	0.0017431
1.8	6.15205e-07	0.00164742
1.804	5.99243e-07	0.00163145
1.808	6.06244e-07	0.00164658
1.812	6.35826e-07	0.00169209
1.816	6.06384e-07	0.00165817
1.82	6.29963e-07	0.00169597
1.824	7.00394e-07	0.00179451
1.828	7.7686e-07	0.00189656
1.832	7.81431e-07	0.00190884
1.836	6.76942e-07	0.00178293
1.84	5.84109e-07	0.00166206
1.844	5.76721e-07	0.00165742
1.848	5.85147e-07	0.00167547
1.852	5.84063e-07	0.00167996
1.856	5.87157e-07	0.0016905
1.86	5.34178e-07	0.0016183
1.864	5.41615e-07	0.00163548
1.868	5.76481e-07	0.0016935
1.872	6.16495e-07	0.00175774
1.876	5.75352e-07	0.00170437
1.88	5.77195e-07	0.00171345
1.884	6.68598e-07	0.00185103
1.888	7.81039e-07	0.00200816
1.892	9.02928e-07	0.00216732
1.896	9.21309e-07	0.00219758
1.9	8.70067e-07	0.00214373
1.904	8.96086e-07	0.00218387
1.908	9.02552e-07	0.00220017
1.912	8.89415e-07	0.00219253
1.916	8.21491e-07	0.00211533
1.92	7.19529e-07	0.00198743
1.924	7.50435e-07	0.00203762
1.928	8.09052e-07	0.00212403
1.932	9.0082e-07	0.00225012
1.936	8.8873e-07	0.00224385
1.94	8.97671e-07	0.00226412
1.944	1.01469e-06	0.00241683
1.948	1.12006e-06	0.00254945
1.952	1.17576e-06	0.00262265
1.956	1.1185e-06	0.0025684
1.96	1.10637e-06	0.00256489
1.964	1.20208e-06	0.00268451
1.968	1.37613e-06	0.00288415
1.972	1.39371e-06	0.00291456
1.976	1.29082e-06	0.0028166
1.98	1.02217e-06	0.00251692
1.984	8.53867e-07	0.00231008
1.988	7.2521e-07	0.00213794
1.992	6.14214e-07	0.0019759
1.996	4.82392e-07	0.00175856
2	4.0131e-07	0.00161085
2.004	5.04635e-07	0.00181415
2.008	6.6767e-07	0.00209577
2.012	8.0846e-07	0.00231622
2.016	8.62863e-07	0.00240335
2.02	8.85799e-07	0.00244579
2.024	9.66643e-07	0.00256625
2.028	1.02688e-06	0.00265675
2.032	1.04363e-06	0.00269029
2.036	8.98694e-07	0.00250769
2.04	7.4465e-07	0.00229297
2.044	7.85176e-07	0.0023652
2.048	8.12493e-07	0.00241694
2.052	8.44594e-07	0.0024755
2.056	7.27405e-07	0.00230792
2.06	6.00614e-07	0.00210684
2.064	6.36369e-07	0.00217872
2.068	6.77369e-07	0.0022583
2.072	7.80909e-07	0.00243614
2.076	7.82035e-07	0.0024494
2.08	8.331e-07	0.00254008
2.084	9.92718e-07	0.00278597
2.088	1.16555e-06	0.00303322
2.092	1.21372e-06	0.00311016
2.096	1.09134e-06	0.00296346
2.1	1.00839e-06	0.00286247
2.104	1.07462e-06	0.00296942
2.108	1.1188e-06	0.00304473
2.112	1.0041e-06	0.00289868
2.116	8.93959e-07	0.00274866
2.12	7.92192e-07	0.0026004
2.124	8.08433e-07	0.0026401
2.128	8.67024e-07	0.00274789
2.132	7.16186e-07	0.00251011
2.136	6.64563e-07	0.00243027
2.14	6.35775e-07	0.00238923
2.144	6.4669e-07	0.00242206
2.148	7.00429e-07	0.00253374
2.152	5.38605e-07	0.00223342
2.156	4.98226e-07	0.00215932
2.16	5.05676e-07	0.00218684
2.164	5.48681e-07	0.00228999
2.168	6.50335e-07	0.00250637
2.172	5.12836e-07	0.0022376
2.176	5.40656e-07	0.00230984
2.18	6.06917e-07	0.00246053
2.184	7.10927e-07	0.00267751
2.188	8.99609e-07	0.00302839
2.192	9.4195e-07	0.00311587
2.196	1.12436e-06	0.00342303
2.2	1.3351e-06	0.00375079
2.204	1.59851e-06	0.00412707
2.208	1.76026e-06	0.00435517
2.212	1.64138e-06	0.0042293
2.216	1.60275e-06	0.00420298
2.22	1.51268e-06	0.00410651
2.224	1.51703e-06	0.00413604
2.228	1.40741e-06	0.00400682
2.232	1.10002e-06	0.00356291
2.236	9.89727e-07	0.00339933
2.24	8.99661e-07	0.00326002
2.244	9.79443e-07	0.00342161
