ma_GeV,gee
0.0022743511739867304,1.7556762912750012e-05
0.0022883404586963433,1.740767383330235e-05
0.002302415789962412,1.7259850793256232e-05
0.0023165776970478684,1.6823870855291953e-05
0.002330826712471083,1.6823870855291953e-05
0.002345163372025895,1.6823870855291953e-05
0.0023595882148017442,1.6681005372000593e-05
0.0023741017832039596,1.5984671064343215e-05
0.002388704622974138,1.5984671064343215e-05
0.0024033972832106744,1.6398903672222492e-05
0.0024181803163894136,1.6259646938814786e-05
0.00243305427838441,1.6121572750178855e-05
0.002448019728488848,1.5984671064343215e-05
0.0024630772294360545,1.5848931924611107e-05
0.0024782273474206694,1.5714345458836578e-05
0.0024934706521199373,1.5714345458836578e-05
0.0025088077167151252,1.5580901878706065e-05
0.0025242391179130714,1.5448591479026732e-05
0.0025397654359678753,1.5448591479026732e-05
