ma_GeV,c_g2tau_ATLAS,c_g2tau_BelleII,c_g2tau_CMS24
27.049597304631316,3.0522612330397734,0.0719424871945079,4.0696816440530315
28.99422853882875,3.210819540785334,0.07567974234851954,4.281092721047112
31.07866187782014,3.37995277762928,0.07966625097173236,4.506603703505706
33.3129478793467,3.560284702862309,0.08391671521162238,4.747046270483079
35.707859649004625,3.752486757166473,0.08844696107683768,5.003315676221964
38.27494478516307,3.957280309617862,0.09327399139955969,5.27637374615715
41.0265810582719,4.175439216776836,0.09841604615383825,5.567252289035782
43.97603609302721,4.407792683683688,0.10389266988990624,5.877056911578252
47.13753134116719,4.655228422823585,0.10972478619169711,6.206971230431447
50.526310653356795,4.918696112115591,0.11593477918242805,6.558261482820789
54.15871378079465,5.199211157077426,0.12254658219967347,6.932281542769902
58.05225516094896,5.497858765778652,0.1295857738429329,7.330478354371537
62.22570836730231,5.8157983482069655,0.1370796816676889,7.754397797609288
66.69919663030115,6.154268254375444,0.14505749386366576,8.205691005833927
71.49428986597577,6.514590867995547,0.1535503793138536,8.686121157327397
76.63410868007446,6.898178074912321,0.16259161648676224,9.197570766549763
82.14343584919422,7.30653712780751,0.17221673166879903,9.742049503743347
88.04883581643465,7.741276930972376,0.18246364709778506,10.321702574629834
94.37878277775371,8.204114771279796,0.19337283961348886,10.93881969503973
101.1637979766207,8.696883523879073,0.20498751049748165,11.59584469850543
108.43659686896086,9.221539363631807,0.21735376723342434,12.295385818175742
116.23224686798518,9.780170015935441,0.23052081798084315,13.040226687913922
124.58833642950081,10.375003583372195,0.24454117962124028,13.833338111162925
133.54515629298973,11.008417987611233,0.25947090030586234,14.677890650148312
143.14589375234786,11.682951069213361,0.2753697975103798,15.577268092284484
153.436840893001,12.401311391481011,0.2923017126840734,16.535081855308015
164.46761779946627,13.166389798306968,0.3103347836709412,17.555186397742624
176.2914118095948,13.981271780151353,0.32954173617857113,18.641695706868468
188.96523396912076,14.849250706882223,0.35000019567918517,19.799000942509632
202.55019392306664,15.773841991317816,0.37179302124753144,21.03178932175709
217.1117945694501,16.758798252995376,0.3950086629743432,22.34506433732717
232.72024789604072,17.808125558065488,0.41974154474431924,23.74416741075398
249.45081352303166,18.926100818392488,0.44609247433685323,25.234801091189986
267.3841615839944,20.117290441086716,0.4741690829997243,26.823053921448956
286.606761694825,21.386570328981886,0.5040862968648702,28.515427105309183
307.2112998861753,22.739147343229007,0.5359668428265765,30.31886312430534
329.2971255097148,24.18058235148466,0.5699417917924852,32.24077646864621
352.970730273065,25.716814999461906,0.6061511425546477,34.289086665949206
378.3462617131925,27.35419036031442,0.6447444499215338,36.47225381375256
405.54607358408276,29.099487635951487,0.6858815012145131,38.799316847935316
434.7013158125018,30.959951107581748,0.7297330457791672,41.279934810109
465.95256686646775,32.94332356035722,0.776481582811705,43.92443141380963
499.450511585514,35.057882439925315,0.8263222135770658,46.74384325323375
535.3566677410719,37.312479038242635,0.8794635650274092,49.74997205099018
573.8441648302393,39.716581053698434,0.9361287929538439,52.95544140493125
615.0985788580505,42.280318928376026,0.9965566741661543,56.37375857116804
659.3188271333541,45.01453643557351,1.0610027988520983,60.01938191409801
706.7181273927491,47.93084607654768,1.129740876291183,63.907794768730234
757.5250258771905,51.04168995067849,1.2030641695782005,68.05558660090465
811.9844993184009,54.3604068927172,1.2812870780633423,72.48054252362293
870.3591361485165,57.901306830602245,1.364746889982727,77.20174244080299
932.9304026284676,61.679753515313585,1.4538057324197677,82.23967135375146
1000.0,65.7122570203155,1.5488527515379469,87.61634269375402
